size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
900,14,0.54,0,,,,,,,,,,,,,,,
1000,14,0.69,0,,,,,,,,,,,,,,,
1100,14,0.86,0,,,,,,,,,,,,,,,
1200,14,1.04,0,,,,,,,,,,,,,,,
1300,14,1.24,0,,,,,,,,,,,,,,,
1400,14,1.46,0,,,,,,,,,,,,,,,
1500,14,1.68,0,,,,,,,,,,,,,,,
1800,14,2.51,0,,,,,,,,,,,,,,,
2300,14,5.28,0,,,,,,,,,,,,,,,
2500,14,6.31,0,,,,,,,,,,,,,,,
3000,14,9.41,0,,,,,,,,,,,,,,,
3200,14,12.67,0,,,,,,,,,,,,,,,
3600,14,16.45,0,,,,,,,,,,,,,,,
3800,14,18.38,0,,,,,,,,,,,,,,,
4200,14,26.69,0,,,,,,,,,,,,,,,
4500,14,31.08,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
900,1,0.82,1,,,,,900,1,0.82,0.61,0.54,0.53,0.53,0.52,0.52,,
1000,1,1.04,1,,,,,1000,1,1.04,0.78,0.7,0.68,0.67,0.67,0.67,,
1100,1,1.29,1,,,,,1100,1,1.29,0.97,0.87,0.84,0.84,0.84,0.84,,
1200,1,1.56,1,,,,,1200,1,1.56,1.17,1.05,1.02,1.02,1.01,1.01,,
1300,1,1.85,1,,,,,1300,1,1.85,1.39,1.25,1.21,1.21,1.21,1.21,,
1400,1,2.17,1,,,,,1400,1,2.17,1.63,1.47,1.43,1.42,1.42,1.42,,
1500,1,2.5,1,,,,,1500,1,2.5,1.88,1.7,1.65,1.64,1.64,1.64,,
1800,1,3.74,1,,,,,1800,1,3.74,2.82,2.53,2.46,2.45,2.45,2.45,,
2300,1,7.86,1,,,,,2300,1,7.86,5.91,5.32,5.17,5.15,5.15,5.15,,
2500,1,9.4,1,,,,,2500,1,9.4,7.06,6.36,6.17,6.15,6.15,6.14,,
3000,1,13.98,1,,,,,3000,1,13.98,10.52,9.47,9.2,9.17,9.16,9.16,,
3200,1,18.82,1,,,,,3200,1,18.82,14.18,12.75,12.38,12.35,12.34,12.33,,
3600,1,24.46,1,,,,,3600,1,24.46,18.39,16.57,16.08,16.05,16.03,16.03,,
3800,1,27.29,1,,,,,3800,1,27.29,20.54,18.5,17.96,17.93,17.92,17.9,,
4200,1,39.7,1,,,,,4200,1,39.7,29.85,26.86,26.09,26,26,25.99,,
4500,1,46.17,1,,,,,4500,1,46.17,34.73,31.26,30.36,30.29,30.27,30.25,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,1,,,,,,,,,,,,,,,
1000,2,0.78,1,,,,,,,,,,,,,,,
1100,2,0.97,1,,,,,,,,,,,,,,,
1200,2,1.17,1,,,,,,,,,,,,,,,
1300,2,1.39,1,,,,,,,,,,,,,,,
1400,2,1.63,1,,,,,,,,,,,,,,,
1500,2,1.88,1,,,,,,,,,,,,,,,
1800,2,2.82,1,,,,,,,,,,,,,,,
2300,2,5.91,1,,,,,,,,,,,,,,,
2500,2,7.06,1,,,,,,,,,,,,,,,
3000,2,10.52,1,,,,,,,,,,,,,,,
3200,2,14.18,1,,,,,,,,,,,,,,,
3600,2,18.39,1,,,,,,,,,,,,,,,
3800,2,20.54,1,,,,,,,,,,,,,,,
4200,2,29.85,1,,,,,,,,,,,,,,,
4500,2,34.73,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.54,1,,,,,,,,,,,,,,,
1000,4,0.7,1,,,,,,,,,,,,,,,
1100,4,0.87,1,,,,,,,,,,,,,,,
1200,4,1.05,1,,,,,,,,,,,,,,,
1300,4,1.25,1,,,,,,,,,,,,,,,
1400,4,1.47,1,,,,,,,,,,,,,,,
1500,4,1.7,1,,,,,,,,,,,,,,,
