impl0 static cores
size,window,cores,average_gpu,average_cpu,impl,seed
60000000,30,8,79.97,79.10,1,1561096766
60000000,30,8,79.81,79.02,1,1561097014
60000000,30,8,79.90,79.01,1,1561097263
60000000,30,8,80.07,79.28,1,1561097511
60000000,30,8,79.98,79.20,1,1561097760
60000000,30,8,80.06,79.33,1,1561098009
60000000,30,8,80.09,79.24,1,1561098258
60000000,30,8,79.86,79.09,1,1561098507
60000000,30,8,81.63,80.82,1,1561098756
60000000,30,8,79.95,79.16,1,1561099009
60000000,30,8,79.83,79.06,1,1561099258
60000000,30,8,79.80,79.09,1,1561099507
60000000,30,8,79.84,78.92,1,1561099755
60000000,30,8,79.90,79.15,1,1561100002
60000000,30,8,85.63,84.87,1,1561100251
60000000,30,8,79.83,78.95,1,1561100517
60000000,30,8,79.82,79.08,1,1561100765
60000000,30,8,79.96,79.26,1,1561101014
60000000,30,8,79.81,79.06,1,1561101263
60000000,30,8,79.80,79.06,1,1561101512
impl0 static cores alg only
size,window,cores,average_gpu,average_cpu,impl,seed
10000000,10,8,0.00,0.29,0,1561108447
20000000,10,8,0.00,0.58,0,1561108494
40000000,10,8,0.00,1.07,0,1561108581
60000000,10,8,0.00,1.76,0,1561108749
80000000,10,8,0.00,2.38,0,1561108998
100000000,10,8,0.00,2.66,0,1561109327

10000000,20,8,0.00,0.29,0,1561109743
20000000,20,8,0.00,0.58,0,1561109790
40000000,20,8,0.00,1.08,0,1561109876
60000000,20,8,0.00,1.60,0,1561110043
80000000,20,8,0.00,2.17,0,1561110290
100000000,20,8,0.00,2.67,0,1561110621

10000000,30,8,0.00,0.28,0,1561111039
20000000,30,8,0.00,0.55,0,1561111086
40000000,30,8,0.00,1.06,0,1561111173
60000000,30,8,0.00,1.66,0,1561111340
80000000,30,8,0.00,2.26,0,1561111587
100000000,30,8,0.00,2.68,0,1561111922

10000000,40,8,0.00,0.29,0,1561112337
20000000,40,8,0.00,0.57,0,1561112384
40000000,40,8,0.00,1.09,0,1561112471
60000000,40,8,0.00,1.57,0,1561112639
80000000,40,8,0.00,2.32,0,1561112887
100000000,40,8,0.00,2.65,0,1561113222

10000000,60,8,0.00,0.29,0,1561113637
20000000,60,8,0.00,0.54,0,1561113686
40000000,60,8,0.00,1.04,0,1561113772
60000000,60,8,0.00,1.74,0,1561113939
80000000,60,8,0.00,1.93,0,1561114187
100000000,60,8,0.00,2.72,0,1561114518

10000000,100,8,0.00,0.26,0,1561114933
20000000,100,8,0.00,0.56,0,1561114980
40000000,100,8,0.00,1.04,0,1561115067
60000000,100,8,0.00,1.67,0,1561115233
80000000,100,8,0.00,2.26,0,1561115480
100000000,100,8,0.00,2.75,0,1561115834

10000000,150,8,0.00,0.31,0,1561116254
20000000,150,8,0.00,0.55,0,1561116301
40000000,150,8,0.00,1.13,0,1561116387
60000000,150,8,0.00,1.65,0,1561116555
80000000,150,8,0.00,2.19,0,1561116802
100000000,150,8,0.00,2.56,0,1561117131

10000000,200,8,0.00,0.28,0,1561117546
20000000,200,8,0.00,0.54,0,1561117592
40000000,200,8,0.00,1.08,0,1561117679
60000000,200,8,0.00,1.69,0,1561117847
80000000,200,8,0.00,2.07,0,1561118095
100000000,200,8,0.00,2.76,0,1561118424

10000000,300,8,0.00,0.30,0,1561118839
20000000,300,8,0.00,0.52,0,1561118886
40000000,300,8,0.00,1.05,0,1561118974
60000000,300,8,0.00,1.68,0,1561119140
80000000,300,8,0.00,2.16,0,1561119388
100000000,300,8,0.00,2.73,0,1561119719

10000000,400,8,0.00,0.26,0,1561120128
20000000,400,8,0.00,0.52,0,1561120168
40000000,400,8,0.00,1.09,0,1561120248
60000000,400,8,0.00,1.63,0,1561120408
80000000,400,8,0.00,2.15,0,1561120648
100000000,400,8,0.00,3.09,0,1561120975

10000000,500,8,0.00,0.26,0,1561121384
20000000,500,8,0.00,0.54,0,1561121424
40000000,500,8,0.00,1.03,0,1561121505
60000000,500,8,0.00,1.63,0,1561121665
80000000,500,8,0.00,2.02,0,1561121915
100000000,500,8,0.00,3.38,0,1561122242

10000000,600,8,0.00,0.28,0,1561122668
20000000,600,8,0.00,0.53,0,1561122709
40000000,600,8,0.00,1.01,0,1561122789
60000000,600,8,0.00,1.54,0,1561122952
80000000,600,8,0.00,2.10,0,1561123195
100000000,600,8,0.00,2.68,0,1561123519

10000000,700,8,0.00,0.28,0,1561123929
20000000,700,8,0.00,0.54,0,1561123971
40000000,700,8,0.00,1.00,0,1561124051
