size,cores,time impl 0,time impl 1,Speedup 0,Speedup 1,Pluto time 1,Pluto speedup 1
5500,1,50.85,50.84,1,1,81.41,1
5500,2,38.67,38.69,1.31497284716835,1.31403463427242,61.24,1.32968647942521
5500,3,35.99,36,1.41289247013059,1.41222222222222,56.77,1.43413173652695
5500,4,35.64,35,1.42676767676768,1.45257142857143,56.28,1.4770542354435
5500,5,34.71,34.53,1.46499567847882,1.47234289024037,54.68,1.49770093801729
5500,6,34.66,34.29,1.46710905943451,1.48264800233304,54.62,1.50880118584399
5500,7,34.96,34.14,1.45451945080092,1.48916227299356,55.06,1.51666977090706
5500,8,34.96,34.04,1.45451945080092,1.49353701527615,55.1,1.5212030637026
